KEY,NAME,EPIC_KEY,LONGNAME,GENERIC_NAME,UNITS,FORMAT,COMMENTS
3029,ocWSA,ocWSA_3029,OC Wind Spd Avg,WS,knots,f10.2,OC Wind Spd Avg
3030,light,light_3030,light intensity,light,volts,f10.2,light intensity
3031,fluor,fluor_3031,fluorometer,fluor,volts,f10.2,fluorometer
3032,EKdep,EKdep_3032,EK500 depth,depth,meters,f10.1,depth from MF EK500
3033,EQdep,EQdep_3033,EQ50 depth,depth,meters,f10.1,depth from MF EQ50
3034,rWD,rWD_3034,RMY true direction,WD,degree,f10.2,oc true direction
3035,rWS,rWS_3035,RMY wind speed,WS,knots,f10.2,oc wind speed
3036,SD,SD_3036,gps ship direction,SD,degrees,f10.2,ship direction
3037,SS,SS_3037,gps ship speed,SS,knots,f10.2,ship speed
3038,su,su_3038,gps ship u component,su,knots,f10.2,ship east vel
3039,sv,sv_3039,gps ship v component,sv,knots,f10.2,ship north vel
3040,SD,SD_3040,Ship Heading           ,SD,degrees,f10.2,ship heading
3050,qAT,qAT_3050,Qualimetrics Air Temp ,atemp,degree C,f10.2,Qualimetrics Air Temp
3051,AT ,AT_3051,Air Temperature       ,atemp,degree C,f10.2, 
3052,AT ,AT_3052,Air Temperature       ,atemp,degree C,f10.2, 
3053,AT ,AT_3053,Air Temperature       ,atemp,degree C,f10.2, 
3055,qDP,qDP_3055,Qualimetrics Dew Point, ,degree C,f10.2, 
3056,DP ,DP_3056,Dew Point             , ,degree C,f10.2, 
3060,Hdg,Hdg_3060,Ship Heading       ,hdg,degrees_T,F6.2,Ship Heading 
3061,Hdg,Hdg_3061,Gyrocompass Heading,hdg,degrees_T,F6.2,Ship Heading 
3062,Hdg,Hdg_3062,Ashtech 3DF Heading,hdg,degrees_T,F6.2,Ship Heading 
3070,COG,COG_3070,Course Over Ground                     ,COG,degrees_T,F6.2,Ship Course Over Ground
3071,COG,COG_3071,Course Over Ground (Trimble P-code GPS),COG,degrees_T,F6.2,Ship Course Over Ground
3072,COG,COG_3072,Course Over Ground (North Star GPS)    ,COG,degrees_T,F6.2,Ship Course Over Ground
3080,SOG,SOG_3080,Speed Over Ground                     ,SOG,knots,F5.2,Ship Speed Over Ground
3081,SOG,SOG_3081,Speed Over Ground (Trimble P-code GPS),SOG,knots,F5.2,Ship Speed Over Ground
3082,SOG,SOG_3082,Speed Over Ground (North Star GPS)    ,SOG,knots,F5.2,Ship Speed Over Ground
3090,LAT,LAT_3090,Latitude (Trimble P-code GPS),lat,degree_north,F8.5,Latitude 
3091,LAT,LAT_3091,Latitude (North Star GPS)    ,lat,degree_north,F8.5,Latitude 
3095,LON,LON_3095,Longitude (Trimble P-code GPS),lon,degree_east,F9.5,Longitude 
3096,LON,LON_3096,Longitude (North Star GPS)    ,lon,degree_east,F9.5,Longitude
4000,upr,upr_4000,UPPER ROTOR SPEED     ,rotor,counts,f10.1,"basic measurement, vmcm"
4001,upr,upr_4001,UPPER ROTOR SPEED     ,rotor,cm/s,f10.3,"interval upper rotor speed, Seadata tripod"
4002,lowr,lowr_4002,LOWER ROTOR SPEED    ,rotor,counts,f10.1,"basic measurement, vmcm"
4003,lowr,lowr_4003,LOWER ROTOR SPEED    ,rotor,cm/s,f10.3,"interval lower rotor speed, Seadata tripod"
4004,rdif,rdif_4004,ROTOR SPEED DIFFERENCE  ,rotor,cm/s,f10.3,"difference, interval rotor speed, Seadata tripod"
4005,rot,rot_4005,ROTOR COUNTS             ,rotor,counts,i10,vacm rotor counter
4006,rspd,rspd_4006,ROTOR SPEED             ,speed,cm s-1,f8.2,scalar speed from rotor counts
4007,vspd,vspd_4007,VECTOR SPEED            ,vspd,cm s-1,f8.2,vector speed from U and V
4008,cnt,cnt_4008,clock counter            ,count,counts,i10,clock counter
4009,stead,stead_4009,STEADINESS             ,steadiness, ,f10.4,VACM rotor spd normalized by vector spd to measure wave effect
4010,tran,tran_4010,TRANSMISSION (VOLTS)     ,trans,volts,f10.3,"basic measurement, transmissometer"
4011,ptrn,ptrn_4011,PERCENT TRANSMISSION     ,trans, ,f10.1,normalized by 95% of air transmission
4012,rtrn,rtrn_4012,RAW TRANSMISSOMETER VOLTS,trans,counts,i10,MIDAS raw transmissometer voltage
4015,rtltx,rtltx_4015,RAW TILTX VOLTS          ,tilt,counts,i10,MIDAS raw tiltx voltage
4016,rtlty,rtlty_4016,RAW TILTY VOLTS          ,tilt,counts,i10,MIDAS raw tilty voltage
4017,tiltx,tiltx_4017,TILT IN POD X-Z PLANE    ,tilt,degrees,f10.3,orientation of BASS pods
4018,tilty,tilty_4018,TILT IN POD Y_Z PLANE    ,tilt,degrees,f10.3,orientation of BASS pods
4019,tilta,tilta_4019,TILT ANGLE               ,tilt,degrees,f8.2,averaged instrument tilt FSIacm
4020,P   ,P_4020,AVERAGE RELATIVE PRESSURE,pres,mbar,f10.5,"burst pressure minus interval pressure, Seadata tripod"
4022,P   ,P_4022,INTERVAL PRESSURE        ,pres,mbar,f10.3,"interval pressure measurement, Seadata tripod"
4023,P   ,P_4023,AVERAGE BURST PRESSURE   ,pres,mbar,f10.3,average of burst pressures
4026,rpres,rpres_4026,"RAW PRESSURE (PAROS,COMP,AB)",pres,counts,i10,"Paroscientific, temp. compensated, A,B calibration"
4027,rpres,rpres_4027,"RAW PRESSURE (PAROS,UNCOMP,AB)",pres,counts,i10,"Paroscientific, not temp. compensated, A,B calibration"
4028,rpres,rpres_4028,"RAW PRESSURE (PAROS,COMP,CD)",pres,counts,i10,"Paroscientific, temp. compensated, C,D calibration"
4029,rpres,rpres_4029,"RAW PRESSURE (PAROS,UNCOMP,CD)",pres,counts,i10,"Paroscientific, not temp. compensated, C,D calibration"
4030,rpres,rpres_4030,RAW PRESSURE (VACM),pres,counts,i10,vacm raw pressure
4031,rpres,rpres_4031,RAW PRESSURE (MX2),pres,counts,i10,mx-vacm with 2 mx-variables
4032,rpres,rpres_4032,RAW PRESSURE (MX4),pres,counts,i10,mx-vacm with 4 mx-variables
4041,rtemp,rtemp_4041,RAW TEMPERATURE (SEABIRD) ,temp,counts,i10,Seabird cell raw temperature
4042,rtemp,rtemp_4042,RAW TEMPERATURE (MIDAS THERM) ,temp,counts,i10,MIDAS thermister raw temperature
4043,rtemp,rtemp_4043,RAW TEMPERATURE (VACM) ,temp,counts,i10,vacm raw temperature
4045,rtemp,rtemp_4045,RAW TEMPERATURE (MX2),temp,counts,i10,mx-vacm with 2 mx-variables
4046,rtemp,rtemp_4046,RAW TEMPERATURE (MX4),temp,counts,i10,mx-vacm with 4 mx-variables
4050,UVAR,UVAR_4050,EAST VELOCITY VARIANCE   ,uvar,cm2/s2,f10.2,"variance of east component, burst BASS data"
4051,UVCOV,UVCOV_4051,U-V VELOCITY COVARIANCE ,uvcovar,cm2/s2,f10.2,"covariance of east and north, burst BASS data"
4052,VVAR,VVAR_4052,NORTH VELOCITY VARIANCE  ,vvar,cm2/s2,f10.2,"variance of north component, burst BASS data"
4053,UWCOV,UWCOV_4053,U-W VELOCITY COVARIANCE ,uwcovar,cm2/s2,f10.2,"covariance of east and up, burst BASS data"
4054,VWCOV,VWCOV_4054,V-W VELOCITY COVARIANCE ,vwcovar,cm2/s2,f10.2,"covariance of north and up, burst BASS data"
4055,WVAR,WVAR_4055,UP VELOCITY VARIANCE     ,wvar,cm2/s2,f10.2,"variance of up component, burst BASS data"
4056,peru,peru_4056,"ZERO CROSSING PERIOD, U  ",period_u,s,f10.2,"zero crossing period of east component, burst BASS data"
4057,perv,perv_4057,"ZERO CROSSING PERIOD, V  ",period_v,s,f10.2,"zero crossing period of north component, burst BASS data"
4060,wp  ,wp_4060,average wave period       ,wave_period,s,f10.2,
4061,wh  ,wh_4061,significant wave height   ,wave_height,m,f10.2,
4062,wd  ,wd_4062,mean wave direction ,wave_dir,degrees,f8.2,"direction dominant waves are coming from, measured clockwise from true north"
4063,dwp ,dwp_4063,dominant wave period     ,wave_period,s,f10.2,
4070,BASA,BASA_4070,"BASS COUNTS, AXIS A      ",bass,counts,f10.1,basic data of BASS pod
4071,BASB,BASB_4071,"BASS COUNTS, AXIS B      ",bass,counts,f10.1,basic data of BASS pod
4072,BASC,BASC_4072,"BASS COUNTS, AXIS C      ",bass,counts,f10.1,basic data of BASS pod
4073,BASD,BASD_4073,"BASS COUNTS, AXIS D      ",bass,counts,f10.1,basic data of BASS pod
4074,BadBA,BadBA_4074,"BAD BASS COUNT, AXIS A   ",badbass,count,f10.1,"bad data cycle count, BASS pod"
4075,BadBB,BadBB_4075,"BAD BASS COUNT, AXIS B   ",badbass,count,f10.1,"bad data cycle count, BASS pod"
4076,BadBC,BadBC_4076,"BAD BASS COUNT, AXIS C   ",badbass,count,f10.1,"bad data cycle count, BASS pod"
4077,BadBC,BadBC_4077,"BAD BASS COUNT, AXIS D   ",badbass,count,f10.1,"bad data cycle count, BASS pod"
4080,u   ,u_4080,East(m)                   ,u,cm s-1,f8.2,U component (magnetic)
4081,v   ,v_4081,North(m)                  ,v,cm s-1,f8.2,V component (magnetic)
4082,u   ,u_4082,East(t)                   ,u,cm s-1 ,f8.2,U component (true north)
4083,v   ,v_4083,North(t)                  ,v,cm s-1,f8.2,V component (true North)
4084,u   ,u_4084,East(r)                   ,u,cm s-1 ,f8.2,U component (rotated)
4085,v   ,v_4085,North(r)                  ,v,cm s-1,f8.2,V component (rotated)
4086,u   ,u_4086,instant East(m)           ,u,cm s-1,f8.2,instantaneous east comp (magnetic) FSIacm
4087,v   ,v_4087,instant North(m)          ,v,cm s-1,f8.2,instantaneous north comp (magnetic) FSIacm
4088,u   ,u_4088,instant East(t)           ,u,cm s-1,f8.2,instantaneous east comp (true north) FSIacm
4089,v   ,v_4089,instant North(t)          ,v,cm s-1,f8.2,instantaneous north comp (true north) FSIacm
4091,w   ,w_4091,instant vertical velocity ,w,cm s-1,f8.2,instantaneous vertical velocity FSIacm
4095,re  ,re_4095,east register             ,u,counts,i10,vacm east register
4096,rn  ,rn_4096,north register            ,v,counts,i10,vacm north register
4202,BTLNBR_FLAG,BTLNBR_FLAG_4202,Bottle Number Flag ,flag, , ,
4203,CTDPRS,CTDPRS_4203,Pressure                ,depth,dbar,f9.1,
4204,CTDPRS_FLAG,CTDPRS_FLAG_4204,Pressure Flag      ,flag, , ,
4210,CTDTMP ,CTDTMP_4210,Temperature            ,temp,degC,f9.4,
4211,CTDTMP ,CTDTMP_4211,"Temperature, ITS-90    ",temp,degC,f9.4,
4212,CTDTMP ,CTDTMP_4212,"Temperature, IPTS-68   ",temp,degC,f9.4,
4213,CTDTMP_FLAG,CTDTMP_FLAG_4213,Temperature Flag   ,flag, , ,
4214,CTDSAL ,CTDSAL_4214,"CTD Salinity, PSS-78   ",sal,PSU,f9.4,
4215,CTDSAL_FLAG,CTDSAL_FLAG_4215,CTD Salinity Flag  ,flag, , ,
4216,SALNTY ,SALNTY_4216,"Bottle Salinity, PSS-78",sal,PSU,f9.4,
4217,SALNTY_FLAG,SALNTY_FLAG_4217,Bottle Salinity Flag,flag, , ,
4220,CTDOST,CTDOST_4220,"CTD OXYGEN, %SAT         ",ox,%, ,
4221,CTDOXY,CTDOXY_4221,CTD Oxygen              ,ox,umol/kg,f9.1,
4222,CTDOXY_FLAG,CTDOXY_FLAG_4222,CTD Oxygen Flag    ,flag, , ,
4223,OXYGEN ,OXYGEN_4223,Bottle Oxygen          ,ox,umol/kg,f9.1,
4224,OXYGEN_FLAG,OXYGEN_FLAG_4224,Bottle Oxygen Flag ,flag, , ,
4225,SILCAT ,SILCAT_4225,Silicate,SiO4          ,umol/kg,f9.2,
4226,SILCAT_FLAG,SILCAT_FLAG_4226,Silicate Flag      ,flag, , ,
4227,NITRAT ,NITRAT_4227,Nitrate,NO3            ,umol/kg,f9.2,
4228,NITRAT_FLAG,NITRAT_FLAG_4228,Nitrate Flag       ,flag, , ,
4229,NO2+NO3,NO2+NO3_4229,Nitrate plus Nitrite,NO2+NO3,umol/kg,f9.2,
4230,NO2+NO3_FLAG,NO2+NO3_FLAG_4230,NO2+NO3 Flag      ,flag, , ,
4231,NITRIT ,NITRIT_4231,Nitrite                ,NO2,umol/kg,f9.2,
4232,NITRIT_FLAG,NITRIT_FLAG_4232,Nitrite Flag       ,flag, , ,
4233,PHSPHT ,PHSPHT_4233,Phosphate              ,PO4,umol/kg,f9.2,
4234,PHSPHT_FLAG,PHSPHT_FLAG_4234,Phosphate Flag     ,flag, , ,
4235,SILCAT ,SILCAT_4235,Silicate               ,SiO4   ,umol/l   ,f9.1,
4236,NITRAT ,NITRAT_4236,Nitrate                ,NO3    ,umol/l   ,f9.1,
4237,NITRIT ,NITRIT_4237,Nitrite                ,NO2    ,umol/l   ,f9.2,
4238,PHSPHT ,PHSPHT_4238,Phosphate              ,PO4    ,umol/l   ,f9.2,
4239,NO2NO3,NO2NO3_4239,Nitrate plus Nitrite    ,NO2NO3,umol/l,f9.2,
4241,CFC-11 ,CFC-11_4241,Freon-11               ,f11,pmol/kg,f9.3,
4242,CFC-11_FLAG,CFC-11_FLAG_4242,Freon-11 Flag      ,flag, , ,
4243,CFC-12 ,CFC-12_4243,Freon-12               ,f12,pmol/kg,f9.3,
4244,CFC-12_FLAG,CFC-12_FLAG_4244,Freon-12 Flag      ,flag, , ,
4245,CFC113 ,CFC113_4245,Freon-113              ,f113 ,pmol/kg,f9.3,
4246,CFC113_FLAG,CFC113_FLAG_4246,Freon-113 Flag     ,flag, , ,
4247,CCL4 ,CCL4_4247,Carbon Tetrachloride     ,ccl4 ,pmol/kg,f9.3,
4248,CCL4_FLAG,CCL4_FLAG_4248,Carbon Tetrachloride Flag,flag, , ,
4251,TRITUM ,TRITUM_4251,Tritium                ,tritium,TU ,f9.3,
4252,TRITUM_FLAG,TRITUM_FLAG_4252,Tritium Flag       ,flag, , ,
4253,HELIUM ,HELIUM_4253,Helium                 ,helium ,nmol/kg,f9.4,
4254,HELIUM_FLAG,HELIUM_FLAG_4254,Helium Flag        ,flag, , ,
4255,NEON   ,NEON_4255,Neon                   ,neon ,nmol/kg  ,f8.3,
4256,NEON_FLAG,NEON_FLAG_4256,Neon Flag            ,flag, , ,
4261,DELHE3 ,DELHE3_4261,Delta-He3              ,delhe3 ,%,f9.2,
4262,DELHE3_FLAG,DELHE3_FLAG_4262,Delta-He3 Flag     ,flag, , ,
4263,DELC14 ,DELC14_4263,Delta-C14              ,delc14 ,0/00,f9.1,
4264,DELC14_FLAG,DELC14_FLAG_4264,Delta-C14 Flag     ,flag, , ,
4265,DELC13 ,DELC13_4265,Delta-C13              ,delc13 ,0/00,f9.1,
4266,DELC13_FLAG,DELC13_FLAG_4266,Delta-C13 Flag     ,flag, , ,
4267,O18O16 ,O18O16_4267,O18/O16 Ratio          ,o18o16 ,0/00,f9.2,
4268,O18O16_FLAG,O18O16_FLAG_4268,O18/O16 Ratio Flag ,flag, , ,
4269,TCARBN ,TCARBN_4269,Total Carbon           ,tcarbn ,umol/kg,f9.1,
4270,TCARBN_FLAG,TCARBN_FLAG_4270,Total Carbon Flag  ,flag, , ,
4271,ALKALI ,ALKALI_4271,Alkalinity             ,alk,umol/kg,f9.1,
4272,ALKALI_FLAG,ALKALI_FLAG_4272,Alkalinity Flag    ,flag, , ,
4281,PCO2 ,PCO2_4281,Partial Pressure of CO2  ,pco2 ,uatm ,f9.1,
4282,PCO2_FLAG,PCO2_FLAG_4282,PCO2 Flag            ,flag, , ,
4283,PH ,PH_4283,pH                         ,pH , ,f9.2,
4284,PH_FLAG,PH_FLAG_4284,pH Flag                ,flag, , ,
4291,ARGOPRS_FLAG ,ARGOPRS_FLAG_4291,Argo Pressure Flag    ,flag, , ,
4292,ARGOTMP_FLAG ,ARGOTMP_FLAG_4292,Argo Temperature Flag ,flag, , ,
4293,ARGOSAL_FLAG ,ARGOSAL_FLAG_4293,Argo Salinity Flag    ,flag, , ,
4301,XCO2a,XCO2a_4301,Mole Fraction of CO2 in Air,XCO2,ppm,f9.1,Underway CO2 obs
4302,XCO2w,XCO2w_4302,Mole Fraction of CO2 in Water,XCO2,ppm,f9.1,Underway CO2 obs
4303,fCO2a,fCO2a_4303,Fugacity of CO2 in Air,fCO2a,uatm,f9.1,Underway CO2 obs
4304,fCO2w,fCO2w_4304,Fugacity of CO2 in Water,fCO2w,uatm,f9.1,Underway CO2 obs
4305,pCO2a,pCO2a_4305,Partial Pressure of CO2 in Air,pCO2a,uatm,f9.1,Underway CO2 obs
4306,pCO2w,pCO2w_4306,Partial Pressure of CO2 in Water,pCO2w,uatm,f9.1,Underway CO2 obs
4307,dfCO2,dfCO2_4307,Delta fCO2,dfCO2,uatm,f9.1,Underway CO2 obs
4308,dpCO2,dpCO2_4308,Delta pCO2,dpCO2,uatm,f9.1,Underway CO2 obs
4309,EqT,EqT_4309,Equilibrator Temperature,degC,f9.3,Underway CO2 obs (ITS-90),
4311,FiltXCO2a,FiltXCO2a_4311,Filtered Mole Fraction of CO2 in Air,XCO2,ppm,f9.1,Underway CO2 obs
4312,FiltXCO2w,FiltXCO2w_4312,Filtered Mole Fraction of CO2 in Water,XCO2,ppm,f9.1,Underway CO2 obs
9991,x,x_9991,x axis,x, , ,x axis
9992,y,y_9992,y axis,y, , ,y axis
9993,z,z_9993,z axis,z, , ,z axis
9994,t,t_9994,t axis,t, , ,t axis 
5000,OXYV1,OXYV1_5000,"OXYGEN, SBE43 Voltage             ",ox,V, ,
5001,OXYV2,OXYV2_5001,"OXYGEN, SBE43 Voltage             ",ox,V, ,
9998,DESCENT,DESCENT_9998,"Descent Rate, Descent Rate of CTD             ",descent,m/s, ,
9999,BINS,BINS_9999,"Sample Number, Sample Bins             ",bins,#, ,
